2020-08-25-0315,2.7,3.5,219.0
2020-08-25-0320,4.5,5.1,248.0
2020-08-25-0325,3.1,3.9,237.0
2020-08-25-0330,3.9,4.9,215.0
2020-08-25-0335,4.5,4.9,215.0
2020-08-25-0340,4.3,4.9,217.0
2020-08-25-0345,3.9,5.1,222.0
2020-08-25-0350,5.1,6.0,238.0
2020-08-25-0355,4.7,5.6,236.0
2020-08-25-0400,4.9,5.6,232.0
2020-08-25-0405,4.9,5.6,230.0
2020-08-25-0410,4.7,5.6,238.0
2020-08-25-0415,5.4,6.6,228.0
2020-08-25-0420,5.4,6.6,235.0
2020-08-25-0425,5.2,6.2,225.0
2020-08-25-0430,5.2,6.0,224.0
2020-08-25-0435,5.4,6.8,230.0
2020-08-25-0440,5.8,6.6,228.0
2020-08-25-0445,5.8,6.2,228.0
2020-08-25-0450,5.6,6.4,248.0
2020-08-25-0455,5.6,6.4,240.0
2020-08-25-0500,6.4,7.4,250.0
2020-08-25-0505,7.4,8.7,251.0
2020-08-25-0510,7.0,8.2,264.0
2020-08-25-0515,7.0,8.2,278.0
2020-08-25-0520,7.4,8.4,270.0
2020-08-25-0525,7.2,8.2,263.0
2020-08-25-0530,7.4,7.8,266.0
2020-08-25-0535,7.0,8.2,272.0
2020-08-25-0540,6.8,7.4,282.0
2020-08-25-0545,6.6,7.8,271.0
2020-08-25-0550,5.6,6.4,284.0
2020-08-25-0555,5.2,6.8,271.0
2020-08-25-0600,4.9,5.4,278.0
2020-08-25-0605,5.4,6.6,275.0
2020-08-25-0610,5.2,6.0,260.0
2020-08-25-0615,4.9,6.2,276.0
2020-08-25-0620,5.4,6.6,281.0
2020-08-25-0625,4.5,6.2,280.0
2020-08-25-0630,6.0,7.0,288.0
2020-08-25-0635,5.4,6.8,278.0
2020-08-25-0640,5.8,6.6,269.0
2020-08-25-0645,4.7,5.2,269.0
2020-08-25-0650,5.1,5.4,284.0
2020-08-25-0655,5.1,6.0,285.0
2020-08-25-0700,5.8,6.4,287.0
2020-08-25-0705,5.2,6.2,277.0
2020-08-25-0710,4.9,5.8,278.0
2020-08-25-0715,5.4,6.2,272.0
2020-08-25-0720,4.7,5.6,273.0
2020-08-25-0725,5.2,5.8,262.0
2020-08-25-0730,4.5,5.2,245.0
2020-08-25-0735,5.4,6.2,259.0
2020-08-25-0740,5.4,7.0,298.0
2020-08-25-0745,7.4,8.4,287.0
2020-08-25-0750,7.0,8.2,284.0
2020-08-25-0755,7.0,8.6,294.0
2020-08-25-0800,5.6,6.8,287.0
