2020-06-17-1755,8.0,18.0,7.0,148.0,161.0,107.0
2020-06-17-1800,9.0,18.0,7.0,149.0,161.0,107.0
2020-06-17-1805,8.0,18.0,7.0,149.0,161.0,107.0
2020-06-17-1810,9.0,18.0,7.0,152.0,161.0,107.0
2020-06-17-1815,9.0,18.0,7.0,143.0,161.0,107.0
2020-06-17-1825,9.0,18.0,7.0,140.0,161.0,107.0
2020-06-17-1825,9.0,18.0,7.0,140.0,161.0,107.0
2020-06-17-1827,9.0,18.0,7.0,140.0,161.0,107.0
2020-06-17-1831,9.0,18.0,7.0,146.0,161.0,107.0
2020-06-18-0325,12.0,19.0,10.0,142.0,158.0,130.0
2020-06-18-0330,12.0,19.0,10.0,149.0,158.0,130.0
2020-06-18-0335,13.0,19.0,10.0,147.0,158.0,130.0
2020-06-18-0340,13.0,19.0,10.0,148.0,158.0,130.0
2020-06-18-0345,14.0,19.0,10.0,144.0,158.0,130.0
2020-06-18-0350,13.0,19.0,10.0,139.0,158.0,130.0
2020-06-18-0355,13.0,19.0,10.0,149.0,158.0,130.0
2020-06-18-0400,13.0,19.0,10.0,145.0,158.0,130.0
2020-06-18-0405,14.0,19.0,10.0,151.0,158.0,130.0
2020-06-18-0410,14.0,19.0,10.0,149.0,158.0,130.0
2020-06-18-0415,13.0,19.0,10.0,145.0,158.0,130.0
2020-06-18-0420,13.0,19.0,10.0,148.0,158.0,130.0
2020-06-18-0425,12.0,19.0,10.0,154.0,158.0,130.0
2020-06-18-0430,12.0,19.0,10.0,156.0,158.0,130.0
2020-06-18-0435,12.0,19.0,10.0,151.0,159.0,130.0
2020-06-18-0440,11.0,19.0,10.0,149.0,159.0,130.0
2020-06-18-0445,11.0,19.0,10.0,152.0,159.0,130.0
2020-06-18-0450,11.0,19.0,10.0,153.0,162.0,130.0
2020-06-18-0455,12.0,19.0,10.0,151.0,162.0,130.0
2020-06-18-0500,11.0,19.0,10.0,153.0,162.0,130.0
2020-06-18-0505,12.0,19.0,10.0,156.0,162.0,130.0
2020-06-18-0510,12.0,19.0,10.0,159.0,162.0,130.0
2020-06-18-0515,12.0,19.0,10.0,168.0,168.0,130.0
2020-06-18-0520,11.0,19.0,10.0,177.0,177.0,130.0
2020-06-18-0525,12.0,19.0,10.0,181.0,181.0,130.0
2020-06-18-0530,13.0,19.0,10.0,177.0,181.0,130.0
2020-06-18-0535,11.0,19.0,10.0,176.0,181.0,130.0
2020-06-18-0540,11.0,19.0,10.0,180.0,181.0,130.0
2020-06-18-0545,10.0,19.0,10.0,179.0,181.0,130.0
2020-06-18-0743,9.0,19.0,8.0,158.0,183.0,130.0
2020-06-18-0745,9.0,19.0,8.0,158.0,183.0,130.0
2020-06-18-0750,8.0,19.0,8.0,154.0,183.0,130.0
2020-06-18-0755,8.0,19.0,8.0,145.0,183.0,130.0
2020-06-18-0800,8.0,19.0,8.0,145.0,183.0,130.0
2020-06-18-0805,8.0,18.0,8.0,147.0,183.0,130.0
2020-06-18-0810,7.0,17.0,7.0,142.0,183.0,130.0
2020-06-18-0815,8.0,17.0,7.0,150.0,183.0,130.0
2020-06-18-0820,8.0,17.0,7.0,145.0,183.0,130.0
2020-06-18-0825,8.0,17.0,7.0,153.0,183.0,130.0
2020-06-18-0830,8.0,16.0,7.0,144.0,183.0,130.0
2020-06-18-0835,7.0,16.0,7.0,147.0,183.0,130.0
2020-06-18-0840,7.0,15.0,7.0,150.0,183.0,130.0
2020-06-18-0845,6.0,15.0,6.0,144.0,183.0,130.0
2020-06-18-0850,8.0,15.0,6.0,155.0,183.0,130.0
2020-06-18-0855,7.0,15.0,6.0,162.0,183.0,130.0
2020-06-18-0900,7.0,15.0,6.0,150.0,183.0,130.0
2020-06-18-0905,6.0,15.0,6.0,153.0,183.0,130.0
2020-06-18-0910,7.0,15.0,6.0,145.0,183.0,130.0
2020-06-18-0915,6.0,15.0,6.0,139.0,183.0,133.0
2020-06-18-0920,5.0,15.0,5.0,144.0,183.0,133.0
2020-06-18-0925,7.0,15.0,5.0,145.0,183.0,133.0
2020-06-18-0930,7.0,15.0,5.0,152.0,183.0,133.0
2020-06-18-0935,9.0,15.0,5.0,148.0,183.0,133.0
2020-06-18-0940,8.0,15.0,5.0,147.0,183.0,133.0
